number_of_edges,state_space_size,exact_microseconds,overapproximated_microseconds
3,4,27.854493182304065,23.253730109497802
1868,884,57116.70135666667,3707.162093142857
11154,4027,318616.18565,6834.443133483561
100438,24973,2628870.8049,4060.5214515769494
