number_of_edges,state_space_size,exact_efrac,overapproximated_efrac
2255,1151,0.15090543259557343,0.1619718309859155
2296,1138,0.30303030303030304,0.3878787878787879
2512,1046,0.31005917159763313,0.37041420118343193
2518,892,0.34782608695652173,0.3656126482213438
2541,983,0.26484375,0.40625
2544,850,0.2838196286472148,0.36604774535809015
2551,1328,0.24291187739463602,0.24291187739463602
2567,857,0.18732782369146006,0.29476584022038566
2602,1308,0.21932870370370372,0.2957175925925926
2611,868,0.212406015037594,0.29887218045112784
2692,950,0.3958333333333333,0.51953125
2798,931,0.14285714285714288,0.26036866359447003
2814,909,0.2,0.3295238095238095
2872,1440,0.18023255813953487,0.18023255813953487
2908,991,0.19390581717451524,0.23822714681440443
2922,942,0.2670068027210884,0.33843537414965985
2926,1496,0.19955323901712585,0.19955323901712585
2934,1022,0.26260504201680673,0.35714285714285715
2995,1199,0.19010416666666666,0.2994791666666667
3001,1481,0.15949367088607594,0.16962025316455698
3127,1045,0.22040816326530613,0.29183673469387755
3163,1018,0.15660377358490568,0.26037735849056604
3181,1528,0.26764199655765925,0.26764199655765925
3206,919,0.21544715447154472,0.26558265582655827
3272,1637,0.2350877192982456,0.24350877192982456
3299,1014,0.27364864864864863,0.4155405405405405
3338,967,0.21726190476190474,0.26785714285714285
3339,1134,0.16279069767441862,0.27906976744186046
3409,1065,0.3015625,0.35625
3499,1717,0.18018617021276595,0.18882978723404256
3626,1456,0.21881682109764788,0.2419814682822523
3647,1786,0.2012471655328798,0.21031746031746032
3678,1060,0.15396825396825398,0.326984126984127
3914,1202,0.2421875,0.359375
3991,1229,0.23310023310023312,0.2657342657342658
4117,1681,0.21666666666666667,0.25384615384615383
4129,1254,0.3017241379310345,0.35919540229885055
4144,1318,0.23076923076923078,0.32388663967611336
4208,2092,0.18100358422939067,0.18399044205495818
4221,1373,0.17708333333333334,0.25744047619047616
4266,2049,0.2564705882352941,0.2570588235294118
4358,1901,0.2865051903114187,0.32664359861591696
4735,1878,0.213768115942029,0.2701863354037267
4780,2361,0.15222772277227722,0.16027227722772278
4880,1521,0.22291666666666668,0.23541666666666666
4959,1989,0.27366255144032925,0.3216735253772291
5249,1595,0.1908831908831909,0.2678062678062678
5341,1543,0.14792899408284024,0.20414201183431951
5349,1374,0.26982097186700765,0.30818414322250637
5400,1562,0.1809954751131222,0.26244343891402716
5405,1697,0.1738095238095238,0.2714285714285714
5420,1557,0.18233618233618235,0.25071225071225073
6101,1780,0.239247311827957,0.24731182795698925
6442,2153,0.19126819126819125,0.2598752598752599
6693,2021,0.2913533834586466,0.38345864661654133
6729,2004,0.21638655462184872,0.2394957983193277
6756,1897,0.225,0.3821428571428572
6953,2401,0.22705314009661834,0.24927536231884057
7038,2555,0.18942577030812327,0.24579831932773108
7110,2144,0.2424242424242424,0.36818181818181817
7161,2571,0.24696356275303644,0.32343679712100765
7185,2698,0.24305555555555555,0.3277777777777778
7209,3038,0.30333333333333334,0.39166666666666666
7311,2208,0.12713178294573643,0.20310077519379843
7324,2277,0.13333333333333333,0.2833333333333333
7325,2533,0.3019607843137255,0.3392156862745098
7352,2246,0.15637065637065636,0.2528957528957529
7381,2323,0.17897727272727273,0.24005681818181818
7453,2088,0.1638655462184874,0.2338935574229692
7477,2032,0.20402298850574713,0.2385057471264368
7514,2195,0.26166666666666666,0.42666666666666664
7577,2961,0.2625,0.35714285714285715
7615,2825,0.21235294117647058,0.25
7694,2380,0.2727272727272727,0.3678977272727273
7785,2414,0.20154043645699615,0.26957637997432604
7808,2444,0.29365079365079366,0.4285714285714286
7830,2759,0.21652421652421652,0.25925925925925924
7853,2180,0.15240641711229946,0.32486631016042783
8084,2765,0.1843718079673136,0.2390194075587334
8211,3007,0.28463855421686746,0.35993975903614456
8231,3119,0.2919034090909091,0.41051136363636365
8787,2510,0.2,0.35918367346938773
8893,2465,0.19264705882352942,0.36617647058823527
9279,2769,0.16989247311827957,0.23440860215053763
9366,2453,0.30350877192982456,0.387719298245614
9727,2805,0.18934911242603553,0.2485207100591716
9743,3912,0.1822682268226823,0.21557155715571558
9883,2668,0.16576576576576577,0.2918918918918919
10090,4023,0.21850000000000003,0.243
10350,2842,0.2037037037037037,0.28703703703703703
10368,2843,0.2079343365253078,0.332421340629275
10393,3751,0.3349480968858131,0.386159169550173
10533,3759,0.22736842105263158,0.2968421052631579
10600,3066,0.2126126126126126,0.2882882882882883
10805,3158,0.12333333333333332,0.19888888888888887
10850,2635,0.16132167152575316,0.29640427599611274
10947,4146,0.22196969696969698,0.3098484848484848
11011,3260,0.18485237483953787,0.26957637997432604
11040,3468,0.23182957393483708,0.37468671679197996
11154,4027,0.18383838383838383,0.26717171717171717
12266,3037,0.22435897435897434,0.2905982905982906
12346,4937,0.26495726495726496,0.2946859903381643
12430,3655,0.1514705882352941,0.22647058823529412
12484,3332,0.29005847953216374,0.3672514619883041
12676,3151,0.16938775510204082,0.3020408163265306
13025,3182,0.314878892733564,0.3788927335640139
13138,3011,0.11627906976744186,0.2653276955602537
13184,5105,0.18,0.20095238095238094
13895,3597,0.16246498599439776,0.2619047619047619
14009,3823,0.19,0.2816666666666667
14031,4848,0.1562669560499186,0.19533369506239825
14085,3666,0.3002114164904862,0.36469344608879495
14202,3458,0.15079365079365079,0.23809523809523808
14320,4724,0.21895424836601307,0.25925925925925924
14366,5449,0.14441747572815533,0.21682847896440127
14552,3981,0.12082670906200318,0.18282988871224165
14622,3800,0.18809523809523812,0.24761904761904763
14650,5091,0.1688888888888889,0.2303703703703704
15352,3983,0.14985994397759103,0.22549019607843138
15720,4502,0.21851851851851853,0.25308641975308643
16201,6013,0.21433400946585532,0.24002704530087898
16324,4280,0.14838709677419354,0.2172043010752688
16533,5244,0.289272030651341,0.4016602809706258
16637,5849,0.20931639443436176,0.26376285541439803
17580,4918,0.15384615384615385,0.28808446455505277
17662,4707,0.18706896551724136,0.27499999999999997
18382,5581,0.21203953279424975,0.23674752920035938
18568,5350,0.18253968253968256,0.24829931972789115
18763,6802,0.34238683127572017,0.38353909465020575
18810,4852,0.14092664092664092,0.2007722007722008
18859,4609,0.2,0.3567567567567567
19517,6682,0.16852678571428573,0.1875
19536,4963,0.18566176470588236,0.2959558823529412
20431,6456,0.16718266253869968,0.23684210526315788
21058,5353,0.09302325581395349,0.2362301101591187
21066,5480,0.21875,0.3234375
21489,7611,0.18874643874643873,0.21509971509971512
21705,5625,0.17627401837928153,0.21052631578947367
21883,6033,0.3174962292609352,0.40648567119155354
22092,7633,0.16999999999999998,0.2058333333333333
22169,7869,0.19487179487179487,0.23675213675213674
22547,5479,0.14376321353065538,0.28118393234672306
22622,7651,0.2579268292682927,0.3347560975609756
23310,5888,0.15164835164835164,0.2835164835164835
23422,5714,0.1309669522643819,0.2533659730722154
23697,7035,0.23222222222222222,0.2711111111111111
23894,5817,0.17282608695652174,0.2608695652173913
24175,7156,0.28431372549019607,0.3202614379084967
24882,6384,0.15064102564102563,0.23717948717948717
24948,6242,0.22841444270015698,0.28885400313971743
25838,6837,0.10256410256410256,0.23183760683760685
26299,6758,0.14267834793491865,0.23654568210262827
27723,7723,0.10141206675224647,0.19768934531450577
28082,9149,0.19246031746031744,0.27579365079365076
28331,7610,0.2505720823798627,0.3524027459954233
28655,6870,0.18409090909090908,0.3022727272727273
28683,7988,0.2518867924528302,0.3273584905660378
28743,6626,0.23124999999999998,0.36696428571428574
29114,7428,0.25073099415204675,0.3230994152046784
29343,7486,0.2626262626262626,0.3762626262626263
30081,8978,0.21542130365659778,0.24403815580286167
30544,10721,0.13629629629629628,0.14444444444444446
31412,7269,0.19973544973544974,0.28835978835978837
31874,7513,0.11229946524064172,0.23930481283422458
31895,8355,0.18039772727272727,0.2784090909090909
31916,11359,0.14784946236559138,0.19926075268817203
31927,7243,0.2876190476190476,0.4476190476190476
32385,7894,0.17222222222222222,0.20925925925925926
32625,8196,0.15789473684210528,0.22607655502392346
32894,7704,0.31862745098039214,0.4696078431372549
33487,10050,0.19271523178807948,0.22538631346578364
33489,10489,0.1576797385620915,0.18504901960784315
34535,7835,0.20138888888888887,0.2859848484848485
34814,7498,0.18085106382978725,0.23522458628841608
35250,8292,0.10043041606886656,0.266857962697274
36251,11825,0.158890290037831,0.1680327868852459
36258,8035,0.17478882391163095,0.28979857050032487
36372,12328,0.16318785578747627,0.1910183428209994
36825,9754,0.24273504273504273,0.335042735042735
37132,12881,0.2734274711168164,0.3500213949507916
37328,13131,0.2562743018734535,0.27041357370095437
37724,8937,0.1343784994400896,0.23852183650615902
38326,9063,0.1421875,0.2015625
39183,13091,0.14135338345864662,0.15789473684210525
41022,8827,0.10242587601078168,0.23450134770889489
41626,14011,0.13529411764705884,0.16862745098039214
43137,10576,0.14630467571644043,0.25339366515837103
43773,12127,0.25,0.3362244897959184
44116,10102,0.20294117647058824,0.28970588235294115
44956,15979,0.20157189089227925,0.20989366620434582
45173,10346,0.17894736842105263,0.30842105263157893
45335,15622,0.11035653650254669,0.13299377475947935
45430,11131,0.37924528301886795,0.4518867924528302
45439,10111,0.22053872053872053,0.2887205387205387
47709,9638,0.20796890184645286,0.28960155490767736
48113,12484,0.14313725490196078,0.1980392156862745
49087,14256,0.22217068645640076,0.3520408163265306
49672,14462,0.23076923076923078,0.3226773226773227
50545,17397,0.22237632917244568,0.23069810448451225
51297,12479,0.13762626262626262,0.2537878787878788
51402,11917,0.12899896800825592,0.21775025799793601
52061,11091,0.15404040404040403,0.2516835016835017
53343,11558,0.23940345368916796,0.3163265306122449
53522,13978,0.1420059582919563,0.2214498510427011
54161,11965,0.20222222222222222,0.31333333333333335
55401,12803,0.11538461538461539,0.22307692307692306
56089,12990,0.20394736842105263,0.3212719298245614
61238,14735,0.13814756671899528,0.24411302982731553
65552,19947,0.23794916739702016,0.29732690622261176
68073,17012,0.2534722222222222,0.2951388888888889
69303,21188,0.1663372859025033,0.19532279314888013
70611,14706,0.14476190476190476,0.2395238095238095
71004,16256,0.11508951406649616,0.2020460358056266
71273,20604,0.19169960474308298,0.25968379446640316
74565,21517,0.2780327868852459,0.31540983606557377
75773,18087,0.1570175438596491,0.27631578947368424
76856,16002,0.14375,0.228125
78846,17751,0.23964165733482642,0.3594624860022397
84673,23829,0.18837535014005602,0.23319327731092437
86534,19326,0.11964285714285715,0.23750000000000002
89080,19262,0.23750000000000002,0.3260416666666667
90214,19586,0.11363636363636363,0.19412878787878787
90852,20241,0.22478070175438594,0.3355263157894737
91322,21897,0.2367066895368782,0.362778730703259
92753,18078,0.19166666666666665,0.4175925925925926
93638,19096,0.17307692307692307,0.34423076923076923
97973,29077,0.2908286403861625,0.3254223652453741
100066,20607,0.2175925925925926,0.26273148148148145
100438,24973,0.13943355119825707,0.31699346405228757
104466,28339,0.15486993345432545,0.19237749546279492
105357,19344,0.17195767195767195,0.37962962962962965
106906,25003,0.10317460317460317,0.25963718820861675
107438,23589,0.10101010101010101,0.20033670033670034
110384,24150,0.2891156462585034,0.32312925170068024
111442,28204,0.279126213592233,0.3883495145631068
116316,31510,0.1515151515151515,0.22153972153972154
117711,31889,0.22156521739130436,0.27443478260869564
118261,26014,0.15635451505016723,0.201505016722408
122471,27481,0.12452830188679245,0.2188679245283019
123925,27485,0.21181818181818182,0.2918181818181818
127086,33961,0.26436781609195403,0.32425892316999394
129420,24402,0.1973214285714286,0.30357142857142855
134879,28562,0.21475256769374418,0.3025210084033613
135973,33716,0.1619047619047619,0.2130325814536341
142903,28211,0.19081632653061223,0.35612244897959183
143856,38474,0.21856639247943596,0.26243634939287114
144326,39560,0.163125,0.2025
145919,42070,0.262,0.2955
150018,34530,0.17149758454106281,0.2439613526570048
150070,28674,0.2843567251461988,0.4415204678362573
150290,29095,0.19944341372912802,0.26901669758812613
151470,31730,0.17738791423001948,0.23716699155295648
154271,33582,0.17978620019436348,0.24489795918367346
155903,33830,0.14442700156985872,0.32103610675039246
160715,33818,0.1439909297052154,0.2868480725623583
162764,45511,0.1437146892655367,0.17266949152542374
163308,31945,0.20685434516523868,0.2692778457772338
168398,35123,0.1385606874328679,0.2062298603651987
169153,35589,0.12695652173913044,0.20869565217391306
171144,38600,0.12057142857142857,0.21828571428571428
172025,39123,0.16145833333333334,0.3196614583333333
174363,38933,0.18001525553012965,0.2608695652173913
179861,49305,0.17684210526315788,0.223859649122807
186639,52604,0.24429223744292236,0.3210616438356164
187062,35018,0.19143356643356643,0.3094405594405594
187903,35836,0.19623131903833657,0.350227420402859
194546,36532,0.1322314049586777,0.26611570247933886
206479,58644,0.16498316498316498,0.26879910213243546
207428,43266,0.13617021276595745,0.275531914893617
226109,46417,0.10120068610634647,0.20926243567753003
231972,55400,0.13538461538461538,0.23476923076923079
233624,44250,0.1386946386946387,0.21853146853146854
236899,51447,0.21066907775768534,0.31103074141048825
238313,61561,0.1290516206482593,0.17166866746698678
240797,70383,0.18026565464895636,0.2108159392789374
246496,69960,0.13885714285714287,0.15685714285714286
246522,48720,0.1304713804713805,0.26430976430976433
247550,43550,0.17989417989417988,0.28835978835978837
255744,48424,0.12566137566137567,0.23015873015873015
258532,48621,0.14952380952380953,0.2804761904761905
286169,56237,0.2563131313131313,0.37941919191919193
293970,62502,0.14954051796157058,0.27736006683375103
307213,85650,0.15816636308439588,0.2037037037037037
308217,61573,0.1931216931216931,0.27116402116402116
313107,65297,0.18245341614906832,0.23214285714285715
315317,60606,0.17500000000000002,0.22391304347826088
327648,87593,0.2799165120593692,0.31609461966604824
327842,63055,0.09974533106960952,0.2410865874363328
342958,94462,0.12048611111111111,0.203125
347622,72099,0.13614035087719298,0.21122807017543857
351278,68109,0.10860484544695072,0.2531328320802005
364358,78950,0.2052744119743407,0.2794012829650749
365307,99055,0.2093515037593985,0.27420112781954886
396202,102676,0.1634819532908705,0.19915074309978767
408127,85483,0.1713286713286713,0.2683566433566434
408236,75710,0.1606451612903226,0.26129032258064516
408840,96432,0.19806862543661394,0.3012122457365934
410090,83780,0.18115942028985507,0.21181716833890746
436603,103693,0.20234204793028324,0.23474945533769065
439443,119323,0.1255737704918033,0.1383606557377049
441004,85024,0.1620718462823726,0.2706766917293233
444116,78027,0.2183288409703504,0.31626235399820307
453233,83887,0.2749326145552561,0.39622641509433965
454436,94229,0.1490566037735849,0.20754716981132076
467795,86205,0.13313432835820896,0.17850746268656717
479811,127261,0.16447779862414008,0.21732332707942464
480865,132882,0.14428571428571427,0.1834285714285714
486900,131947,0.14423076923076922,0.16880341880341881
527620,98623,0.12764705882352942,0.19941176470588237
542659,134891,0.1687625754527163,0.24647887323943662
572604,144104,0.17394726485635575,0.2943722943722944
603177,113532,0.12776304155614499,0.21175950486295314
611336,110132,0.1406451612903226,0.24903225806451612
626469,109455,0.12523191094619665,0.24628942486085345
655500,172481,0.26061459066385173,0.3288763781374619
689557,169746,0.17336394948335246,0.258036739380023
700767,169434,0.18818082788671023,0.2306644880174292
717978,123491,0.16228070175438597,0.23524720893141945
736024,135528,0.2,0.28160535117056856
744785,128347,0.22680890538033396,0.33812615955473097
760654,152303,0.1422857142857143,0.2377142857142857
782561,139431,0.18518518518518517,0.3144899285250163
803737,147593,0.1568181818181818,0.2727272727272727
860739,154594,0.19670329670329673,0.2631868131868132
883823,165360,0.1564179104477612,0.2083582089552239
